training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9274,0.8908,0.3124,0,0
1,0,0.7068,0.6840,0.1291,0,0
2,0,0.5675,0.5425,0.0913,0,0
3,0,0.5411,0.5101,0.0627,0,0
4,0,0.5379,0.4714,0.0626,0,0
