training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.5905,0.5000,0.6499,1.9459
1,0,0.6001,0.0000,0.6673,2.3026
2,0,0.5055,0.0000,0.6960,2.3026
3,0,0.5431,0.0000,0.6894,2.3026
4,0,0.5258,0.0000,0.6922,2.3026
