training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.5213,0.0000,0.6932,1.7918
1,0,0.5565,0.0000,0.6839,2.3026
2,0,0.6639,0.5000,0.6152,2.3026
3,0,0.6643,0.0000,0.6312,2.3026
4,0,0.5791,0.0000,0.6700,2.3026
