training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9934,0.9448,0.2381,0,0
1,0,0.8661,0.8440,0.0603,0,0
2,0,0.8442,0.8199,0.0449,0,0
3,0,0.7656,0.7541,0.0407,0,0
4,0,0.7773,0.7138,0.0321,0,0
