training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.5908,0.0000,0.1794,0.4561
1,0,0.3176,0.0000,0.3524,0.4852
2,0,0.1753,0.0000,0.3844,0.5375
3,0,0.0969,0.0000,0.5326,0.5982
4,0,0.0658,0.0000,0.6032,0.6239
