training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.7112,0.7276,0.0000,0,0
0,1,0.7358,0.7709,0.6917,0,0
1,0,0.9956,0.9792,0.0626,0,0
1,1,0.9994,0.9990,1.0000,0,0
2,0,0.9934,0.9726,0.0913,0,0
2,1,0.9997,0.9996,1.0000,0,0
3,0,0.9919,0.9649,0.0627,0,0
3,1,0.9990,0.9988,1.0000,0,0
4,0,0.9911,0.9619,0.0626,0,0
4,1,0.9994,0.9990,1.0000,0,0
