training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.6088,0.0515,1.2519,2.2560
1,0,0.6289,0.0000,1.3345,4.6562
2,0,0.7501,0.0000,0.9860,4.0002
3,0,0.7718,0.0000,0.9133,5.4323
4,0,0.7869,0.0000,0.8415,5.6267
