training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.4606,0.1198,1.3482,2.2385
0,1,0.5003,0.5432,1.0231,0.7392
1,0,0.2515,0.0000,3.2235,9.0616
1,1,0.5119,0.5806,0.9750,0.8046
2,0,0.2420,0.0000,3.2655,8.0043
2,1,0.5212,0.5000,1.3292,1.3613
3,0,0.1945,0.0000,2.9737,5.8966
3,1,0.5087,0.5000,1.6234,1.6981
4,0,0.0084,0.0000,2.8313,4.3229
4,1,0.2306,0.0583,2.1829,2.1984
