training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.7151,0.7325,0.3124,0,0
1,0,0.9972,0.9735,0.0000,0,0
2,0,0.9987,0.9842,0.0000,0,0
3,0,0.9985,0.9876,0.0000,0,0
4,0,0.9986,0.9863,0.0000,0,0
