training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.8416,0.0000,0.4435,2.3026
1,0,0.7748,0.0000,0.7174,1000.0000
2,0,0.7418,0.5221,0.5377,2.3026
3,0,0.8131,0.0000,0.4662,2.3026
4,0,0.8014,0.0000,0.4568,2.3026
