training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.7133,0.7229,0.1461,0,0
1,0,0.9965,0.9814,0.0626,0,0
2,0,0.9958,0.9811,0.0913,0,0
3,0,0.9959,0.9801,0.0627,0,0
4,0,0.9959,0.9795,0.0627,0,0
