training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.4560,0.0387,1.3905,2.2578
1,0,0.2683,0.0000,1.9082,5.8151
2,0,0.1996,0.0000,1.9762,4.9995
3,0,0.2078,0.0000,2.1522,5.3874
4,0,0.2062,0.0000,2.2517,5.0712
