training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.7692,0.0000,0.5076,2.1972
1,0,0.7947,0.0000,0.4749,2.3026
2,0,0.9521,0.4677,0.1883,2.3026
3,0,0.8894,0.0000,0.3303,2.3026
4,0,0.8911,0.0000,0.2975,2.3026
