training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.4783,0.4263,1.3619,2.2266
1,0,0.2953,0.0000,2.2123,5.4230
2,0,0.2525,0.0000,2.7803,6.4148
3,0,0.1886,0.0000,2.4493,3.6676
4,0,0.0105,0.0000,2.6170,3.3793
