training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.7707,0.0000,0.5097,2.1972
1,0,0.8712,0.5034,0.3967,2.3026
2,0,0.7836,0.0000,0.5114,2.3026
3,0,0.8068,0.0000,0.4679,2.3026
4,0,0.8178,0.0000,0.4574,2.3026
