training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.9584,0.0000,0.0943,1.7918
1,0,0.9513,0.0000,0.1130,2.3026
2,0,0.9323,0.0000,0.1580,2.3026
3,0,0.8450,0.0000,0.3472,2.3026
4,0,0.9491,0.5031,0.1365,2.3026
