training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9296,0.9048,0.3124,0,0
1,0,0.9997,0.9974,0.0000,0,0
2,0,0.9998,0.9983,0.0000,0,0
3,0,0.9998,0.9983,0.0000,0,0
4,0,0.9998,0.9983,0.0000,0,0
