training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.9719,0.8529,0.1598,0,0
1,0,0.9517,0.8106,0.0502,0,0
2,0,0.9704,0.8795,0.0295,0,0
3,0,0.9420,0.7886,0.0396,0,0
4,0,0.9645,0.8470,0.0255,0,0
