training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.9352,0.0000,0.0818,0.4561
1,0,0.5635,0.0000,0.2293,0.4658
2,0,0.2230,0.0000,0.2301,0.4653
3,0,0.2543,0.0000,0.2533,0.4711
4,0,0.2228,0.0000,0.2941,0.4255
