training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.7388,0.0102,1.0537,2.3443
1,0,0.4738,0.0000,1.8879,4.2193
2,0,0.3989,0.0000,2.2791,4.8397
3,0,0.2772,0.0000,2.2481,3.7717
4,0,0.2456,0.0000,2.3823,3.5284
