training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.4736,0.0000,1.4618,2.3508
1,0,0.2209,0.0000,2.7122,5.6724
2,0,0.2161,0.0000,2.9228,6.8641
3,0,0.0474,0.0000,2.8001,4.4472
4,0,0.0254,0.0000,3.0725,4.6768
