training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.7454,0.0749,1.0733,2.2936
1,0,0.4497,0.0000,2.1295,4.7288
2,0,0.3838,0.0000,2.2453,4.1020
3,0,0.3290,0.0000,2.4006,4.1270
4,0,0.2678,0.0000,2.4929,3.9257
