training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.5011,0.0000,0.6966,1.7918
1,0,0.5173,0.0000,0.6918,2.3026
2,0,0.5806,0.5000,0.6530,2.3026
3,0,0.6121,0.0000,0.6681,2.3026
4,0,0.5308,0.0000,0.6869,2.3026
