training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.4721,0.0286,1.4414,2.3356
1,0,0.3429,0.0000,2.2033,5.4377
2,0,0.2683,0.0000,2.6980,6.3837
3,0,0.1670,0.0000,2.5765,3.8389
4,0,0.1060,0.0000,2.4265,3.0903
