training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.7728,0.0588,1.0636,2.2333
0,1,0.9657,0.9741,0.6816,0.2073
1,0,0.2818,0.0000,3.2238,7.9626
1,1,0.6915,0.7799,1.2729,0.7031
2,0,0.4239,0.0000,2.2827,5.1781
2,1,0.9294,0.9717,0.9441,0.5195
3,0,0.2048,0.0000,2.7892,5.2212
3,1,0.6709,0.8117,1.5326,1.3112
4,0,0.1354,0.0000,2.7306,4.0022
4,1,0.5273,0.7449,1.9100,1.7266
