training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.5169,0.0000,0.9376,1.7918
1,0,0.5613,0.0000,0.6883,2.3026
2,0,0.7234,0.5000,0.5477,2.3026
3,0,0.6976,0.0000,0.5787,2.3026
4,0,0.6479,0.0000,0.6254,2.3026
