training_exp,epoch,training_accuracy,training_f1,val_accuracy,training_loss,val_loss
0,0,0.7117,0.7285,0.0043,0,0
1,0,0.8904,0.8659,0.0626,0,0
2,0,0.8676,0.8562,0.0913,0,0
3,0,0.8147,0.8062,0.0627,0,0
4,0,0.7788,0.7572,0.0627,0,0
