training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.7525,0.0005,1.0748,2.5485
1,0,0.3179,0.0000,2.2645,4.4157
2,0,0.3242,0.0000,2.5126,5.1097
3,0,0.3102,0.0000,2.6394,5.4055
4,0,0.2735,0.0000,2.7475,5.3560
